Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
Kohinoor Sportsville,"3 BHK Apartment for Sale in Kohinoor Sportsville, Maan Pune",,₹92.2 Lac,"₹7,527 per sqft",11 out of 19
57 Elevate,"2 BHK Apartment for Sale in 57 Elevate, Kaspate Wasti Pune",754 sqft,₹85 Lac,"₹8,358 per sqft",18 out of 31
Lodha Panache,"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",1133 sqft,₹1.30 Cr,"₹8,784 per sqft",17 out of 28
Pebbles Greenfield,"2 BHK Apartment for Sale in Pebbles Greenfield, Tathawade Pimpri Chinchwad Pune",764 sqft,₹77.4 Lac,"₹7,507 per sqft",5 out of 25
Abil Imperial Atria Tower 2,"4 BHK Apartment for Sale in Abil Imperial Atria Tower 2, Baner Pune",2400 sqft,₹3.70 Cr,"₹11,562 per sqft",10 out of 25
Riverdale Grand,"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1083 sqft,₹1.23 Cr,"₹8,608 per sqft",14 out of 28
Kumar Parth Tower,"3 BHK Apartment for Sale in Kumar Parth Tower, Baner Pune",1090 sqft,₹1.25 Cr,"₹8,621 per sqft",9 out of 25
Puraniks Abitante Fiore,"2 BHK Apartment for Sale in Puraniks Abitante Fiore, Bavdhan Pune",733 sqft,₹75 Lac,"₹5,618 per sqft",9 out of 22
GK Aarcon,"1 BHK Apartment for Sale in GK Aarcon, Punawale, Pimpri Chinchwad Pune",463 sqft,₹39 Lac,,
Goel Ganga Legend A4 And B1,"2 BHK Apartment for Sale in Goel Ganga Legend A4 And B1 , Ram Nagar Bavdhan Pune",836 sqft,₹99 Lac,"₹9,340 per sqft",10 out of 23
Raheja Sterling,"3 BHK Apartment for Sale in Raheja Sterling, NIBM Road Pune",1251 sqft,₹1.75 Cr,"₹10,000 per sqft",17 out of 22
Unique Youtopia,"3 BHK Apartment for Sale in Unique Youtopia, EON Free Zone, Kharadi Pune",1000 sqft,₹1.21 Cr,"₹9,030 per sqft",7 out of 15
Itrend Futura,"2 BHK Apartment for Sale in Itrend Futura, Mahalunge Pune",669 sqft,₹74 Lac,,
Lodha Bella Vita,"3 BHK Apartment for Sale in Lodha Bella Vita, NIBM Road Pune",,₹1.20 Cr,"₹7,742 per sqft",15 out of 25
Lush Residences,"3 BHK Apartment for Sale in Lush Residences, Tathawade Pimpri Chinchwad Pune",1028 sqft,₹1.05 Cr,"₹7,565 per sqft",11 out of 21
Gloria Grand,"3 BHK Apartment for Sale in Gloria Grand, Bavdhan Pune",1144 sqft,₹1.38 Cr,"₹8,938 per sqft",10 out of 23
Livmo,"2 BHK Apartment for Sale in Livmo, Hinjawadi Pune",615 sqft,₹48 Lac,"₹5,333 per sqft",5 out of 14
The Canary,"2 BHK Apartment for Sale in The Canary, Balewadi Pune",868 sqft,₹99 Lac,"₹8,454 per sqft",14 out of 32
The Strand,"3 BHK Apartment for Sale in The Strand, EON Free Zone, Kharadi Pune",1336 sqft,₹1.68 Cr,"₹9,346 per sqft",12 out of 27
The Ornate,"3 BHK Apartment for Sale in The Ornate, Baner Pune",1150 sqft,₹1.46 Cr,"₹9,733 per sqft",12 out of 32
Nandan Ace,"3 BHK Apartment for Sale in Nandan Ace, Balewadi Pune",1551 sqft,₹1.51 Cr,"₹9,736 per sqft",9 out of 25
The Address,"3 BHK Apartment for Sale in The Address, Aundh Pune",1350 sqft,₹1.81 Cr,"₹9,956 per sqft",5 out of 13
Nirman Cosmopolis,"3 BHK Apartment for Sale in Nirman Cosmopolis, Tathawade Pimpri Chinchwad Pune",1064 sqft,₹1.14 Cr,"₹8,261 per sqft",10 out of 24
Lodha Panache,"2 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",875 sqft,₹99 Lac,"₹9,000 per sqft",12 out of 28
Krishna Amarillo,"2 BHK Apartment for Sale in Krishna Amarillo, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi Pune",702 sqft,₹76 Lac,"₹8,261 per sqft",10 out of 18
The Ornate,"3 BHK Apartment for Sale in The Ornate, Baner Pune",1311 sqft,₹1.67 Cr,"₹10,121 per sqft",22 out of 30
Avon Vista,"2 BHK Apartment for Sale in Avon Vista, Balewadi Pune",774 sqft,₹94.5 Lac,"₹8,008 per sqft",15 out of 21
Kumar Parth Tower,"4 BHK Apartment for Sale in Kumar Parth Tower, Mohan Nagar Co operative Society Pune",1550 sqft,₹2 Cr,"₹9,524 per sqft",15 out of 25
Rohan Harita,"2 BHK Apartment for Sale in Rohan Harita, Tathawade Pimpri Chinchwad Pune",754 sqft,₹74 Lac,"₹6,727 per sqft",9 out of 32
Sukhwani Skylines,"3 BHK Apartment for Sale in Sukhwani Skylines, Wakad Pune",938 sqft,₹1.04 Cr,"₹8,056 per sqft",9 out of 15
,3 BHK Apartment for Sale in Kharadi Pune,1340 sqft,₹1.75 Cr,"₹9,706 per sqft",20 out of 24
Lush Residences,"2 BHK Apartment for Sale in Lush Residences, Wakad Pune",800 sqft,₹79 Lac,"₹7,722 per sqft",11 out of 25
Dhanashree Aanand,"2 BHK Apartment for Sale in Dhanashree Aanand, Handewadi Pune",725 sqft,₹48 Lac,"₹4,706 per sqft",9 out of 14
Kolte Patil Centria,"3 BHK Apartment for Sale in Kolte Patil Centria, Kad Nagar, Undri Pune",1243 sqft,₹1.24 Cr,"₹7,949 per sqft",8 out of 12
Platinum Genx Tower,"3 BHK Apartment for Sale in Platinum Genx Tower, Baner Pune",1311 sqft,₹1.32 Cr,"₹7,462 per sqft",6 out of 7
Sunflower Apartments,"2 BHK Apartment for Sale in Sunflower Apartments, NIBM Road Pune",750 sqft,₹57 Lac,"₹5,429 per sqft",3 out of 9
Godrej Hillside,"3 BHK Apartment for Sale in Godrej Hillside, Mahalunge Pune",980 sqft,₹1 Cr,"₹7,692 per sqft",11 out of 24
Riverdale Heights,"3 BHK Apartment for Sale in Riverdale Heights, EON Free Zone, Kharadi Pune",1065 sqft,₹1.44 Cr,"₹9,000 per sqft",15 out of 23
Menlo Hinjewadi Phase 2,"2 BHK Apartment for Sale in Menlo Hinjewadi Phase 2, Hinjawadi Pune",700 sqft,₹55 Lac,"₹5,820 per sqft",5 out of 13
Kingston Greens,"1 BHK Apartment for Sale in Kingston Greens, Pisoli Pune",447 sqft,₹27.9 Lac,"₹4,627 per sqft",3 out of 11
ANP Universe,"3 BHK Apartment for Sale in ANP Universe, Balewadi Pune",1279 sqft,₹1.61 Cr,"₹9,331 per sqft",7 out of 28
Royal KP Stellar,"3 BHK Apartment for Sale in Royal KP Stellar, Mohammed Wadi Pune",1009 sqft,₹1.03 Cr,"₹7,562 per sqft",10 out of 22
204 Blue Paradise,"3 BHK Apartment for Sale in 204 Blue Paradise, Baner Pune",,₹1.41 Cr,"₹9,289 per sqft",8 out of 13
Gera World of Joy,"2 BHK Apartment for Sale in Gera World of Joy, Kharadi Gaon, Kharadi Pune",1000 sqft,₹95 Lac,"₹8,582 per sqft",2 out of 2
Bramha Sun City Phase II,"4 BHK Apartment for Sale in Bramha Sun City Phase II, Kalyani Nagar Pune",1900 sqft,₹1.85 Cr,"₹7,708 per sqft",5 out of 9
My Home MH14 Punawale,"2 BHK Apartment for Sale in My Home MH14 Punawale, Punawale, Pimpri Chinchwad Pune",812 sqft,₹59 Lac,"₹4,904 per sqft",11 out of 16
Nyati Emerald,"2 BHK Apartment for Sale in Nyati Emerald, Baner Pune",838 sqft,₹95 Lac,"₹8,400 per sqft",9 out of 30
VTP Blue Waters,"3 BHK Apartment for Sale in VTP Blue Waters, Mahalunge Pune",1200 sqft,₹1.10 Cr,"₹8,076 per sqft",4 out of 28
Omega Paradise,"3 BHK Apartment for Sale in Omega Paradise, Wakad Pune",1270 sqft,₹98 Lac,"₹6,262 per sqft",8 out of 12
Rama Metro Life Maxima Residences,"2 BHK Apartment for Sale in Rama Metro Life Maxima Residences, Tathawade Pimpri Chinchwad Pune",782 sqft,₹71 Lac,"₹6,893 per sqft",8 out of 12
Nyati Exotica,"3 BHK Apartment for Sale in Nyati Exotica, NIBM Road Pune",1280 sqft,₹85 Lac,"₹5,312 per sqft",1 out of 12
Panchshil Towers,"5 BHK Apartment for Sale in Panchshil Towers, EON Free Zone, Kharadi Pune",4500 sqft,₹9 Cr,"₹16,364 per sqft",30 out of 32
Kolte Patil Life Republic,"3 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjawadi Pune",1287 sqft,₹94.8 Lac,"₹5,742 per sqft",18 out of 22
,2 BHK Apartment for Sale in NIBM Annexe Area Pune,840 sqft,₹85 Lac,"₹7,391 per sqft",5 out of 22
Gulmohar Primrose,"3 BHK Apartment for Sale in Gulmohar Primrose, Wagholi Pune",1050 sqft,₹92 Lac,"₹6,672 per sqft",
Gagan Klara,"3 BHK Apartment for Sale in Gagan Klara, Balewadi Pune",1150 sqft,₹1.60 Cr,"₹10,309 per sqft",10 out of 23
Itrend Futura,"2 BHK Apartment for Sale in Itrend Futura, Mahalunge Pune",776 sqft,₹88 Lac,"₹7,652 per sqft",12 out of 25
Ceratec Presidential Towers,"2 BHK Apartment for Sale in Ceratec Presidential Towers, Ravet, Pimpri Chinchwad Pune",776 sqft,₹74 Lac,"₹6,801 per sqft",Lower Basement out of 31
Park Astra,"2 BHK Apartment for Sale in Park Astra, Marunji, Hinjawadi Pune",688 sqft,₹63 Lac,"₹6,429 per sqft",15 out of 17
Bramha the Collection,"3 BHK Apartment for Sale in Bramha the Collection, New Kalyani Nagar Pune",1180 sqft,₹1.55 Cr,"₹9,394 per sqft",15 out of 29
K Town Kiwale,"2 BHK Apartment for Sale in K Town Kiwale, Kiwale, Dehu Road Pune",752 sqft,₹59 Lac,"₹6,033 per sqft",
Nancy Hillview A1,"2 BHK Apartment for Sale in Nancy Hillview A1, Baner Pune",890 sqft,₹97 Lac,"₹8,070 per sqft",
Gera World of Joy,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1240 sqft,₹1.44 Cr,"₹8,597 per sqft",8 out of 14
Bramha Sun City Phase 2,"4 BHK Apartment for Sale in Bramha Sun City Phase 2, Kalyani Nagar Pune",2800 sqft,₹4.50 Cr,"₹14,980 per sqft",4 out of 12
Marvel Sangria,"3 BHK Apartment for Sale in Marvel Sangria, NIBM Road Pune",2300 sqft,₹3.20 Cr,"₹6,667 per sqft",1 out of 12
Godrej Parkridge,"2 BHK Apartment for Sale in Godrej Parkridge, Manjri, Manjri Budruk Pune",621 sqft,₹63 Lac,"₹7,518 per sqft",20 out of 22
Poorva Residency,"2 BHK Apartment for Sale in Poorva Residency, Pimple Saudagar, Pimpri Chinchwad Pune",850 sqft,₹90 Lac,"₹7,500 per sqft",5 out of 12
,3 BHK Apartment for Sale in Chattushringi Pune,1400 sqft,₹2 Cr,"₹12,500 per sqft",5 out of 10
Rahul Aston,"2 BHK Apartment for Sale in Rahul Aston, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune",799 sqft,₹81 Lac,"₹7,714 per sqft",15 out of 22
,3 BHK Apartment for Sale in Ashok Nagar Tathawade Pune,,₹98 Lac,"₹7,603 per sqft",8 out of 15
Kumar Priyadarshan,"2 BHK Apartment for Sale in Kumar Priyadarshan, Pashan Pune",800 sqft,₹75 Lac,"₹6,818 per sqft",9 out of 10
Kumar Parth Tower,"4 BHK Apartment for Sale in Kumar Parth Tower, Baner Pune",1550 sqft,₹2.05 Cr,"₹9,144 per sqft",17 out of 30
Konark Splendour,"2 BHK Apartment for Sale in Konark Splendour, Kalyani Nagar Pune",1000 sqft,₹1 Cr,"₹7,994 per sqft",2 out of 10
,1 BHK Apartment for Sale in Keshav Nagar Mundhwa Pune,475 sqft,₹38.5 Lac,"₹6,230 per sqft",2 out of 6
Que 914,"3 BHK Apartment for Sale in Que 914, Keshav Nagar Mundhwa Pune",,₹90 Lac,"₹7,335 per sqft",10 out of 18
,3 BHK Apartment for Sale in Wadgaon Sheri Pune,1148 sqft,₹1.55 Cr,"₹10,347 per sqft",10 out of 30
204 Blue Paradise,"2 BHK Apartment for Sale in 204 Blue Paradise, Baner Pune",890 sqft,₹1.15 Cr,"₹9,575 per sqft",5 out of 14
,"3 BHK Apartment for Sale in Marunji, Hinjawadi Pune",1176 sqft,₹98.2 Lac,"₹7,554 per sqft",2 out of 22
Horizon Highgroves,"3 BHK Apartment for Sale in Horizon Highgroves, Mundhwa Pune",1104 sqft,₹1.24 Cr,"₹7,908 per sqft",9 out of 13
Majestique Rhythm County,"3 BHK Apartment for Sale in Majestique Rhythm County, Handewadi Pune",892 sqft,₹62 Lac,"₹5,150 per sqft",13 out of 14
Pride World City Wellington,"2 BHK Apartment for Sale in Pride World City Wellington, Dhanori Lohegaon Road Pune",780 sqft,₹64.2 Lac,"₹6,117 per sqft",14 out of 21
Pristine Allure,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Gaon, Kharadi Pune",749 sqft,₹95 Lac,"₹9,425 per sqft",5 out of 13
Majestique Signature Towers,"2 BHK Apartment for Sale in Majestique Signature Towers, Balewadi Pune",850 sqft,₹1 Cr,"₹8,333 per sqft",12 out of 16
,"2 BHK Apartment for Sale in Punawale, Pimpri Chinchwad Pune",755 sqft,₹62 Lac,"₹6,078 per sqft",9 out of 17
Ruby Park,"2 BHK Apartment for Sale in Ruby Park, Wakad Pune",950 sqft,₹90 Lac,"₹7,826 per sqft",7 out of 7
Kumar Parth Tower,"2 BHK Apartment for Sale in Kumar Parth Tower, Baner Pune",788 sqft,₹91 Lac,"₹9,891 per sqft",6 out of 26
Songs from the Wood,"4 BHK Apartment for Sale in Songs from the Wood , Uday Baug, Ghorpadi Pune",4095 sqft,₹9.84 Cr,"₹17,800 per sqft",5 out of 18
Rohan Ekam,"2 BHK Apartment for Sale in Rohan Ekam, Balewadi Pune",869 sqft,₹1.20 Cr,,
,2 BHK Apartment for Sale in Sinhgad Road Pune,750 sqft,₹75 Lac,"₹8,152 per sqft",1 out of 5
,3 BHK Apartment for Sale in Wagholi Pune,1087 sqft,₹83.7 Lac,"₹5,702 per sqft",10 out of 13
Mantra 29 Gold Coast Phase 6,"2 BHK Apartment for Sale in Mantra 29 Gold Coast Phase 6, Dhanori Pune",731 sqft,₹64.1 Lac,"₹6,266 per sqft",4 out of 6
Treasure Trove,"2 BHK Apartment for Sale in Treasure Trove, Wakad Pune",809 sqft,₹77 Lac,"₹7,000 per sqft",5 out of 22
,3 BHK Apartment for Sale in Kharadi Pune,1000 sqft,₹1.35 Cr,"₹9,643 per sqft",6 out of 12
Pyramid Atlante,"3 BHK Apartment for Sale in Pyramid Atlante, Bhumkar Nagar Wakad Pune",1195 sqft,₹1.09 Cr,"₹7,238 per sqft",16 out of 31
Puneville,"3 BHK Apartment for Sale in Puneville, Punvale Bazar Pune",1159 sqft,₹98 Lac,"₹6,129 per sqft",12 out of 22
Rohan Harita,"3 BHK Apartment for Sale in Rohan Harita, Tathawade Pimpri Chinchwad Pune",1380 sqft,₹1.18 Cr,"₹6,146 per sqft",12 out of 26
Sukhwani Skylines,"3 BHK Apartment for Sale in Sukhwani Skylines, Wakad Pune",1090 sqft,₹1.10 Cr,"₹6,761 per sqft",10 out of 16
The Rising,"2 BHK Apartment for Sale in The Rising, Kiwale, Dehu Road Pune",801 sqft,₹65 Lac,,11 out of 22
Vision Vanessa,"3 BHK Apartment for Sale in Vision Vanessa, Ravet, Pimpri Chinchwad Pune",1423 sqft,₹1.56 Cr,"₹7,800 per sqft",16 out of 21
Kumar Piccadilly,"2 BHK Apartment for Sale in Kumar Piccadilly, Wakad Pune",610 sqft,₹58 Lac,"₹6,776 per sqft",1 out of 11
Whistling,"3 BHK Apartment for Sale in Whistling, Bavdhan Pune",1150 sqft,₹1.20 Cr,"₹8,276 per sqft",10 out of 12
,3 BHK Apartment for Sale in Hinjawadi Pune,973 sqft,₹1 Cr,"₹7,407 per sqft",19 out of 22
Raviraj Presidential Tower,"4 BHK Apartment for Sale in Raviraj Presidential Tower, Pimple Saudagar, Pimpri Chinchwad Pune",1872 sqft,₹2.46 Cr,"₹9,769 per sqft",4 out of 27
Unique Youtopia,"2 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",762 sqft,₹75.2 Lac,"₹6,835 per sqft",5 out of 14
7 Plumeria Drive,"2 BHK Apartment for Sale in 7 Plumeria Drive, Tathawade Pimpri Chinchwad Pune",803 sqft,₹80 Lac,"₹7,561 per sqft",16 out of 22
Kumar Palmsprings Towers,"3 BHK Apartment for Sale in Kumar Palmsprings Towers, Undri Pune",1200 sqft,₹97 Lac,"₹6,062 per sqft",6 out of 14
,4 BHK Apartment for Sale in Kharadi Pune,1885 sqft,₹2.75 Cr,"₹9,303 per sqft",20 out of 24
,"4 BHK Apartment for Sale in Balewadi Gaon, Balewadi Pune",2010 sqft,₹1.98 Cr,"₹7,279 per sqft",23 out of 28
Kohinoor Sportsville,"2 BHK Apartment for Sale in Kohinoor Sportsville, Maan Pune",693 sqft,₹58.2 Lac,"₹6,226 per sqft",Ground out of 14
24K Altura,"3 BHK Apartment for Sale in 24K Altura, Baner Pune",1141 sqft,₹1.65 Cr,"₹10,312 per sqft",
,3 BHK Apartment for Sale in Bhumkar Nagar Wakad Pune,1034 sqft,₹1.03 Cr,"₹7,378 per sqft",Upper Basement out of 27
,"2 BHK Apartment for Sale in Pimple Nilakh, Pimpri Chinchwad Pune",769 sqft,₹96.5 Lac,"₹9,297 per sqft",15 out of 25
Vertillas,"3 BHK Apartment for Sale in Vertillas, EON Free Zone, Kharadi Pune",1555 sqft,₹1.99 Cr,"₹9,481 per sqft",5 out of 18
Santiago Uptown,"2 BHK Apartment for Sale in Santiago Uptown, Adarsh Nagar Kiwale Pune",760 sqft,₹69 Lac,"₹5,610 per sqft",2 out of 11
,3 BHK Apartment for Sale in Sector Number 11 Moshi Pune,983 sqft,₹98 Lac,"₹7,380 per sqft",10 out of 20
,3 BHK Apartment for Sale in Bhumkar Nagar Wakad Pune,900 sqft,₹92 Lac,"₹7,667 per sqft",7 out of 14
K Shire,"2 BHK Apartment for Sale in K Shire, Punawale, Pimpri Chinchwad Pune",793 sqft,₹65 Lac,"₹6,075 per sqft",8 out of 20
Kumar Parth Tower,"3 BHK Apartment for Sale in Kumar Parth Tower, Baner Pune",1091 sqft,₹1.23 Cr,"₹8,367 per sqft",11 out of 35
Codename Fireworks,"2 BHK Apartment for Sale in Codename Fireworks, Hadapsar Pune",828 sqft,₹96.9 Lac,"₹8,545 per sqft",10 out of 30
Unique Youtopia,"3 BHK Apartment for Sale in Unique Youtopia, Ashoka Nagar, Kharadi Pune",918 sqft,₹1.10 Cr,"₹8,878 per sqft",8 out of 13
Ganga Florentina,"3 BHK Apartment for Sale in Ganga Florentina, NIBM Annexe Area Pune",1150 sqft,₹1.10 Cr,"₹7,333 per sqft",5 out of 15
Ethique Hrishikesh,"4 BHK Apartment for Sale in Ethique Hrishikesh, Model Colony, Shivaji Nagar Pune",,₹3.75 Cr,"₹18,090 per sqft",4 out of 13
Shapoorji Pallonji Sensorium Phase II,"3 BHK Apartment for Sale in Shapoorji Pallonji Sensorium Phase II, Hinjawadi Pune",973 sqft,₹1.24 Cr,,11 out of 19
Megapolis Mystic,"2 BHK Builder Floor for Sale in Megapolis Mystic, Hinjawadi Pune",835 sqft,₹67.9 Lac,,
The Balmoral,"3 BHK Apartment for Sale in The Balmoral , Balewadi Pune",1256 sqft,₹1.94 Cr,"₹11,412 per sqft",16 out of 39
Venkatesh Viom,"2 BHK Apartment for Sale in Venkatesh Viom, Bhusari Colony, Kothrud Pune",821 sqft,₹1.40 Cr,"₹11,765 per sqft",2 out of 11
La Moda,"2 BHK Apartment for Sale in La Moda, Balewadi Pune",767 sqft,₹89 Lac,"₹8,599 per sqft",10 out of 16
Kshitij Residency,"2 BHK Apartment for Sale in Kshitij Residency, Kothrud Pune",720 sqft,₹1.23 Cr,"₹12,654 per sqft",8 out of 11
,"4 BHK Apartment for Sale in Model Colony, Shivaji Nagar Pune",1945 sqft,₹4.75 Cr,"₹18,095 per sqft",1 out of 15
Oxy Beaumonde,"2 BHK Apartment for Sale in Oxy Beaumonde, Viman Nagar Pune",793 sqft,₹1.04 Cr,"₹9,369 per sqft",4 out of 9
Joyville Hinjawadi,"2 BHK Apartment for Sale in Joyville Hinjawadi, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune",715 sqft,₹69 Lac,"₹9,650 per sqft",5 out of 22
Gini Vivante,"3 BHK Apartment for Sale in Gini Vivante, Kiwale, Dehu Road Pune",883 sqft,₹77 Lac,"₹6,411 per sqft",20 out of 27
Basil Maximus,"3 BHK Apartment for Sale in Basil Maximus, Punawale, Pimpri Chinchwad Pune",1126 sqft,₹1.10 Cr,"₹7,857 per sqft",
Kohinoor Viva City,"3 BHK Apartment for Sale in Kohinoor Viva City, Dhanori Pune",1085 sqft,₹91.4 Lac,"₹6,237 per sqft",7 out of 9
Vision Vanessa,"3 BHK Apartment for Sale in Vision Vanessa, Ravet, Pimpri Chinchwad Pune",1425 sqft,₹1.67 Cr,"₹8,350 per sqft",16 out of 22
Nivasa Elevia,"2 BHK Apartment for Sale in Nivasa Elevia, Keshav Nagar Mundhwa Pune",750 sqft,₹59.9 Lac,"₹5,919 per sqft",5 out of 16
K City,"3 BHK Apartment for Sale in K City, Mundhwa Pune",940 sqft,₹81 Lac,"₹6,157 per sqft",5 out of 11
Belmac Residences,"3 BHK Apartment for Sale in Belmac Residences, Wadgaon Sheri Pune",1350 sqft,₹2.09 Cr,"₹11,477 per sqft",9 out of 15
Riverdale Grove,"3 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",1084 sqft,₹1.45 Cr,"₹9,277 per sqft",8 out of 33
,"3 BHK Apartment for Sale in Baner Gaon, Baner Pune",1374 sqft,₹1.90 Cr,,15 out of 34
Kohinoor Viva City,"3 BHK Apartment for Sale in Kohinoor Viva City, Parande Nagar, Dhanori Pune",1037 sqft,₹92 Lac,"₹6,571 per sqft",7 out of 9
Flamante By VTP Luxe Phase 1,"4 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1696 sqft,₹1.95 Cr,"₹9,775 per sqft",Upper Basement out of 33
Pride World City,"2 BHK Apartment for Sale in Pride World City, Charholi BK Pune",1010 sqft,₹95 Lac,"₹6,960 per sqft",2 out of 10
Eon Waterfront,"5 BHK Penthouse for Sale in Eon Waterfront, Kharadi Pune",,₹5.15 Cr,"₹8,583 per sqft",11 out of 12
Shapoorji Pallonji Vanaha,"3 BHK Apartment for Sale in Shapoorji Pallonji Vanaha, Bavdhan Pune",1495 sqft,₹2.09 Cr,"₹9,986 per sqft",10 out of 21
Godrej Riverhills,"3 BHK Apartment for Sale in Godrej Riverhills, Mahalunge Pune",900 sqft,₹85 Lac,"₹7,083 per sqft",29 out of 30
TCG The Cliff Garden,"2 BHK Apartment for Sale in TCG The Cliff Garden, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park Pune",1012 sqft,₹64.5 Lac,"₹8,191 per sqft",10 out of 12
,2 BHK Apartment for Sale in Baner Pune,774 sqft,₹84 Lac,"₹7,636 per sqft",9 out of 25
Choic Goodwill Metropolis East,"3 BHK Apartment for Sale in Choic Goodwill Metropolis East, Lohegaon Pune",859 sqft,₹70 Lac,"₹5,833 per sqft",6 out of 12
Majestique Marbella,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",824 sqft,₹90 Lac,"₹7,627 per sqft",9 out of 17
,3 BHK Apartment for Sale in Baner Pune,1361 sqft,₹1.90 Cr,"₹13,960 per sqft",5 out of 32
Kohinoor Kaleido,"3 BHK Apartment for Sale in Kohinoor Kaleido, Wagholi Pune",989 sqft,₹1.20 Cr,"₹8,889 per sqft",25 out of 27
,2 BHK Apartment for Sale in Koregaon Park Pune,905 sqft,₹1.50 Cr,"₹11,839 per sqft",5 out of 15
Royal KP Stellar,"2 BHK Apartment for Sale in Royal KP Stellar, Dorabjee Paradise, Mohammed Wadi Pune",750 sqft,₹65 Lac,"₹6,190 per sqft",5 out of 20
The Address,"3 BHK Apartment for Sale in The Address, Aundh Pune",1144 sqft,₹1.55 Cr,"₹8,507 per sqft",5 out of 15
Pharande Puneville Phase III Cluster A,"3 BHK Apartment for Sale in Pharande Puneville Phase III Cluster A, Tajane Wasti Pune",1162 sqft,₹1.15 Cr,"₹7,334 per sqft",11 out of 22
Pristine Allure,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1000 sqft,₹1.11 Cr,"₹8,090 per sqft",10 out of 13
Majestique Towers,"3 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",1095 sqft,₹1.10 Cr,"₹8,314 per sqft",4 out of 20
Kohinoor Shangrila,"2 BHK Apartment for Sale in Kohinoor Shangrila, Pimpri Pune",619 sqft,₹75 Lac,"₹8,651 per sqft",5 out of 12
Godrej River Royale,"3 BHK Apartment for Sale in Godrej River Royale, Mahalunge Pune",1688 sqft,₹2.50 Cr,"₹11,364 per sqft",16 out of 38
Kairosa,"1 BHK Apartment for Sale in Kairosa, Punawale, Pimpri Chinchwad Pune",440 sqft,₹36 Lac,"₹6,000 per sqft",10 out of 14
Aishwaryam Insignia,"2 BHK Apartment for Sale in Aishwaryam Insignia, Kate Wasti Pune",679 sqft,₹56 Lac,,5 out of 22
Lodha Belmondo,"3 BHK Apartment for Sale in Lodha Belmondo, Veerbhadra Nagar, Baner Pune",,₹1.59 Cr,"₹12,027 per sqft",3 out of 5
Nirvana Beyond,"2 BHK Apartment for Sale in Nirvana Beyond, Ravet, Pimpri Chinchwad Pune",678 sqft,₹52 Lac,"₹5,479 per sqft",5 out of 18
Infinito Sereno,"2 BHK Apartment for Sale in Infinito Sereno, Baner Pune",795 sqft,₹78.8 Lac,"₹7,095 per sqft",8 out of 12
Gini Vivante,"2 BHK Apartment for Sale in Gini Vivante, Adarsh Nagar Kiwale Pune",787 sqft,₹57 Lac,"₹7,243 per sqft",10 out of 21
Gera Planet Of Joy,"1 BHK Apartment for Sale in Gera Planet Of Joy, Kharadi Pune",1065 sqft,₹1.74 Cr,,4 out of 18
,3 BHK Apartment for Sale in Balewadi Pune,1223 sqft,₹1.37 Cr,"₹8,298 per sqft",2 out of 7
V Uptown,"2 BHK Apartment for Sale in V Uptown, Ravet, Pimpri Chinchwad Pune",640 sqft,₹58 Lac,"₹6,705 per sqft",Upper Basement out of 13
Surya Skies,"3 BHK Apartment for Sale in Surya Skies, Punawale, Pimpri Chinchwad Pune",974 sqft,₹77.9 Lac,"₹5,922 per sqft",6 out of 12
Rama Metro Life Maxima Residences,"3 BHK Apartment for Sale in Rama Metro Life Maxima Residences, Tathawade Pimpri Chinchwad Pune",884 sqft,₹95 Lac,"₹7,963 per sqft",9 out of 12
Sunrise Tower,"2 BHK Apartment for Sale in Sunrise Tower, Pradhikaran Nigdi Pune",800 sqft,₹85 Lac,"₹7,727 per sqft",4 out of 10
Panchshil Towers,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",1700 sqft,₹3.36 Cr,"₹13,176 per sqft",17 out of 35
Pooja Complex,"2 BHK Apartment for Sale in Pooja Complex, Hadapsar Pune",903 sqft,₹70 Lac,"₹6,890 per sqft",1 out of 6
The Balmoral Riverside,"4 BHK Apartment for Sale in The Balmoral Riverside, Balewadi Pune",1831 sqft,₹3 Cr,"₹16,251 per sqft",10 out of 37
Livience Aleenta,"4 BHK Apartment for Sale in Livience Aleenta, Pashan Pune",1900 sqft,₹3.30 Cr,"₹12,865 per sqft",12 out of 29
,5 BHK Apartment for Sale in Prabhat Road Pune,2203 sqft,₹6.11 Cr,"₹20,545 per sqft",2 out of 6
